x_m,y_m
50.94322482175752,-10.823292594469383
51.03933012909595,-10.850874012956469
51.13544089723393,-10.878443509603816
51.23155712246587,-10.906001123618509
51.32767880108619,-10.93354689420763
51.42380592938934,-10.961080860578262
51.51993850366971,-10.98860306193749
51.616076520221746,-11.01611353749239
51.712219975339885,-11.04361232645006
51.80836886531853,-11.071099468017572
51.90452318645211,-11.098575001402008
52.00068293503506,-11.12603896581046
52.0968481073618,-11.153491400450005
52.193018699726764,-11.18093234452773
52.28919470842436,-11.208361837250715
52.385376129749034,-11.235779917826047
52.481562959995195,-11.263186625460804
52.57775519545727,-11.290581999362075
52.673952832429705,-11.317966078736944
52.770155867206896,-11.345338902792486
52.8663642960833,-11.372700510735793
52.96255988997606,-11.400045762109151
53.05872019406219,-11.427368326408077
53.15488584972525,-11.454679801592208
53.251056834311505,-11.481980223608984
53.34723312516725,-11.50926962840585
53.44341469963873,-11.536548051930245
53.539601535072244,-11.563815530129615
53.635793608814055,-11.591072098951397
53.73199089821043,-11.618317794343035
53.82819338060765,-11.64555265225197
53.92440103335198,-11.672776708625644
54.02061383378971,-11.6999899994115
54.1168317592671,-11.727192560556977
54.213054787130424,-11.75438442800952
54.30928289472596,-11.781565637716566
54.40551605939999,-11.808736225625559
54.50175425849877,-11.835896227683945
54.59799746936857,-11.863045679839157
54.694245669355695,-11.890184618038646
54.79049883580638,-11.917313078229848
54.88675694606693,-11.944431096360205
54.983019977483586,-11.97153870837716
55.07928790740266,-11.998635950228154
55.17556071317039,-12.02572285786063
55.27183837213307,-12.052799467222028
55.36812086163697,-12.079865814259792
55.464408159028366,-12.10692193492136
55.560700241653514,-12.133967865154178
55.6569970868587,-12.161003640905685
55.753298671990215,-12.188029298123322
55.84959294305156,-12.215041498465844
55.94585105749383,-12.242032202647657
56.04211384300693,-12.269012907876292
56.13838128041187,-12.295983650669234
56.23465335052966,-12.322944467543962
56.330930034181314,-12.349895395017965
56.42721131218786,-12.376836469608726
56.52349716537029,-12.403767727833728
56.619787574549626,-12.430689206210456
56.71608252054688,-12.457600941256393
56.81238198418307,-12.484502969489027
56.90868594627923,-12.51139532742584
57.00499438765634,-12.538278051584314
57.10130728913543,-12.565151178481935
57.1976246315375,-12.592014744636186
57.29394639568359,-12.618868786564555
57.39027256239469,-12.645713340784525
57.486603112491835,-12.672548443813577
57.58293802679602,-12.699374132169197
57.67927728612826,-12.72619044236887
57.77562087130959,-12.752997410930082
57.871968763161,-12.77979507437031
57.96832094250352,-12.806583469207046
58.064677390158145,-12.833362631957772
58.16103808694592,-12.860132599139972
58.25740301368782,-12.886893407271128
58.353772151204886,-12.913645092868727
58.450145480318135,-12.940387692450251
58.54652298184856,-12.967121242533189
58.64290463661719,-12.993845779635018
58.7392845844619,-13.020559721614992
58.83562921886397,-13.04725380264006
58.93197794133939,-13.073938987857177
59.0283307293775,-13.100615313094188
59.124687560467656,-13.127282814178944
59.22104841209921,-13.153941526939283
59.31741326176151,-13.180591487203055
59.41378208694391,-13.2072327307981
